LVPos;LVText;EntityType;Layer;Handle;Length;Area
001;ak;Circle;RW_Kanal_DN200;954D;4.712;1.767
001;ak;Polyline2d;KB_Beschriftung;94D7;3.321;0
001;ak;Circle;RW_Kanal_DN200;9443;2.513;0.503
001;ak;Polyline2d;KB_Beschriftung;91F9;2.494;0
002;ak;Circle;KB_Schacht_RW;8DDE;3.142;0.785
001;ak;Line;Verm_Linie_Geländekante;8D28;3.297;0
001;ak;Line;Verm_Linie_Geländekante;8D00;5.399;0
001;ak;Line;Verm_Linie_Geländekante;8CFF;6.547;0
001;ak;Line;Verm_Linie_Geländekante;8CFE;7.145;0
001;ak;Line;Verm_Linie_Geländekante;8CFD;6.034;0
001;ak;Line;Verm_Linie_Geländekante;8CFC;1.804;0
001;ak;Line;Verm_Linie_Geländekante;8CFB;3.651;0
001;ak;Line;Verm_Linie_Geländekante;8CFA;11.09;0
001;ak;Line;RR_Beschriftung_Achse;8C85;2.5;0
001;ak;Polyline;RR_Beschriftung_Achse;8C84;2.244;0
001;ak;Line;RR_Beschriftung_Achse;8C81;8;0
001;ak;Circle;RR_Beschriftung_Achse;8C73;0.628;0.031
001;ak;Line;RR_Beschriftung_Achse;8C72;8;0
001;ak;Polyline2d;RR_Beschriftung_Querschnitte;8BDF;2.25;0.244
001;ak;Polyline2d;RR_Beschriftung_Querschnitte;8BDA;1.5;0
001;ak;Polyline2d;RR_Beschriftung_Querschnitte;8BD5;2.25;0.244
001;ak;Line;RR_Hilf für Rahmen und Schnittlinien;8BD2;11.5;0
001;ak;Line;RR_Linie_Quergefälle;8B3C;1.64;0
001;ak;Line;DFK_Ainring$0$DFK_Grenzlinie;8A5F;25.123;0
001;ak;Line;DFK_Ainring$0$DFK_Grenzlinie;8A3F;17.644;0
001;ak;Line;DFK_Ainring$0$DFK_Grenzlinie;89FF;60.454;0
001;ak;Line;DFK_Ainring$0$DFK_Grenzlinie;89FE;16.413;0
001;ak;Line;DFK_Ainring$0$DFK_Grenzlinie;89FD;42.001;0
001;ak;Polyline2d;0;63C3;5.937;0
001;ak;Polyline;F_Leistenstein_Granit;60D2;69.342;0
001;ak;Polyline2d;F_Tok;60A7;1.36;0
001;ak;Polyline2d;F_Tok;60A3;5.037;0
001;ak;Polyline;F_Asphalt_Fahrbahn;5E83;724.077;0
001;ak;Circle;F_Lampe;5E67;0.628;0.031
001;ak;Circle;F_SD;5E41;2.513;0.503
001;ak;Polyline;F_Leistenstein_Granit;5D16;70.055;0
001;ak;Polyline2d;F_Leistenstein_Beton;5CE0;64.268;0
001;ak;Polyline;F_Humusfläche_2;5C2E;208.49;78.986
001;ak;Circle;F_SD;5BCC;2.513;0.503
001;ak;Polyline;F_Humusfläche_1;5B5B;129.075;144.863
001;ak;Polyline2d;0;5B50;0.08;0
001;ak;Polyline;F_Asphaltflächen_Gehweg;5B4E;130.576;87.722
001;ak;Line;DFK_Ainring$0$DFK_Grenzlinie;5A7A;25.123;0
001;ak;Line;DFK_Ainring$0$DFK_Grenzlinie;5A59;17.644;0
001;ak;Line;DFK_Ainring$0$DFK_Grenzlinie;5A19;60.454;0
001;ak;Line;DFK_Ainring$0$DFK_Grenzlinie;5A18;16.413;0
001;ak;Line;DFK_Ainring$0$DFK_Grenzlinie;5A17;42.001;0
001;ak;Circle;RW_Kanal_DN200;954C;4.712;1.767
001;ak;Polyline2d;KB_Beschriftung;94E0;2.494;0
001;ak;Polyline2d;KB_Beschriftung;9491;3;0
001;ak;Polyline2d;KB_Beschriftung;948C;3;0
001;ak;Circle;RW_Kanal_DN200;9444;2.513;0.503
001;ak;Polyline2d;RW_Kanal_DN200;9197;1.297;0
001;ak;Polyline2d;RW_Kanal_DN200;9188;7.728;0
001;ak;Line;Verm_Linie_Geländekante;8D0B;1.57;0
001;ak;Line;Verm_Linie_Geländekante;8D0A;2.346;0
001;ak;Line;Verm_Linie_Geländekante;8D09;5.478;0
001;ak;Line;RR_Beschriftung_Achse;8C6F;8;0
001;ak;Polyline;DFK_Ainring$0$DFK_Gebäude;8B29;29.604;52.101
001;ak;Polyline;DFK_Ainring$0$DFK_Gebäude;5B46;29.604;52.101
001;ak;Polyline2d;RW_Kanal_DN150;94CF;0.903;0
001;ak;Polyline2d;KB_Beschriftung;91AF;2.615;0
001;ak;Polyline2d;KB_Beschriftung;91A6;2.615;0
001;ak;Polyline2d;RW_Kanal_DN150;9190;11.265;0
001;ak;Line;Verm_Linie_Geländekante;8D01;6.229;0
001;ak;Circle;RR_Beschriftung_Achse;8C70;0.628;0.031
001;ak;Polyline2d;F_SSK_50x50;5BEA;1.914;0
001;ak;Polyline2d;F_SSK_50x50;5BE4;2;0.25
