LVPos;LVText;EntityType;Layer;Handle;Length;Area
;;Polyline;F_Humusfläche_3;5C30;52.747;0
;;Polyline;F_Humusfläche_3;5C30;52.747;0
;;Polyline2d;F_Tok;6096;8.706;0
;;Polyline;F_Humusfläche_3;5C30;52.747;0
;;Polyline2d;F_Tok;6096;8.706;0
;;Polyline2d;F_Tok;60C1;14.291;0
;;Polyline;F_Humusfläche_3;5C30;52.747;0
;;Polyline2d;F_Tok;6096;8.706;0
;;Polyline2d;F_Tok;60C1;14.291;0
;;Polyline;RR_Linie_Rigole;9459;39.518;23.99
;;Line;RR_Linie_Rigole_Rohr;9458;18.525;0
;;Line;RR_Linie_Rigole_Rohr;9457;18.525;0
;;Arc;RR_Linie_Strichliert;8B3E;35.736;0
;;Line;DFK_Ainring$0$DFK_Grenzlinie;89F6;23.231;0
;;Polyline;F_Leistenstein_Granit;602E;198.536;0
;;Polyline;F_Asphalt_Fahrbahn;5E83;724.077;0
;;Polyline;F_1zeiler_Granit;5D23;46.268;0
;;Polyline;F_Asphaltflächen_Gehweg;5B89;385.697;0
;;Polyline;F_Asphaltfläche_Privat_4;5B7F;104.778;0
;;Line;DFK_Ainring$0$DFK_Grenzlinie;5A10;23.231;0
;;Polyline;F_Humusfläche_3;5C30;52.747;0
;;Polyline2d;F_Tok;6096;8.706;0
;;Polyline2d;F_Tok;60C1;14.291;0
;;Polyline;RR_Linie_Rigole;9459;39.518;23.99
;;Line;RR_Linie_Rigole_Rohr;9458;18.525;0
;;Line;RR_Linie_Rigole_Rohr;9457;18.525;0
;;Arc;RR_Linie_Strichliert;8B3E;35.736;0
;;Line;DFK_Ainring$0$DFK_Grenzlinie;89F6;23.231;0
;;Polyline;F_Leistenstein_Granit;602E;198.536;0
;;Polyline;F_Asphalt_Fahrbahn;5E83;724.077;0
;;Polyline;F_1zeiler_Granit;5D23;46.268;0
;;Polyline;F_Asphaltflächen_Gehweg;5B89;385.697;0
;;Polyline;F_Asphaltfläche_Privat_4;5B7F;104.778;0
;;Line;DFK_Ainring$0$DFK_Grenzlinie;5A10;23.231;0
;;Polyline2d;0;D8A3;1;0
;;Polyline2d;0;D864;1;0
;;Polyline;F_1zeiler_Granit;D85F;23.24;0
;;Polyline2d;0;D85A;1;0
;;Polyline2d;0;D851;1;0
;;Polyline2d;0;D848;1;0
;;Polyline2d;0;D843;1;0
;;Polyline2d;0;D724;1;0
;;Polyline2d;0;D71B;1;0
;;Polyline;F_1zeiler_Granit;D716;15.132;0
;;Polyline2d;0;D711;1;0
;;Polyline2d;0;D3DF;2.623;0
;;Polyline2d;0;D3D9;1;0
;;Polyline2d;0;D3D4;0.333;0
;;Polyline2d;0;D3C4;0.333;0
;;Circle;RW_Kanal_DN200;954D;4.712;1.767
;;Circle;RW_Kanal_DN200;954C;4.712;1.767
;;Polyline2d;KB_Beschriftung;9547;1.973;0
;;Polyline2d;KB_Beschriftung;953E;2.723;0
;;Polyline2d;RW_Kanal_DN150;9534;8.431;0
;;Polyline2d;F_SSK_50x50;9525;1.914;0
;;Polyline2d;F_SSK_50x50;951F;2;0
;;Polyline2d;KB_Beschriftung;9516;3.043;0
;;Polyline2d;KB_Beschriftung;950D;3.043;0
;;Polyline2d;KB_Beschriftung;9504;2.686;0
;;Polyline2d;KB_Beschriftung;94FB;2.4;0
;;Polyline2d;KB_Beschriftung;94F2;2.248;0
;;Polyline2d;KB_Beschriftung;94E9;2.508;0
;;Polyline2d;KB_Beschriftung;94E0;2.494;0
;;Polyline2d;KB_Beschriftung;94D7;3.321;0
;;Polyline2d;RW_Kanal_DN150;94CF;0.903;0
;;Polyline2d;KB_Beschriftung;94C2;6.637;0
;;Polyline2d;KB_Beschriftung;94BD;6.627;0
;;Polyline2d;KB_Beschriftung;94B0;4.431;0
;;Polyline2d;KB_Beschriftung;94AB;3.504;0
;;Polyline2d;KB_Beschriftung;949A;3.504;0
;;Polyline2d;KB_Beschriftung;9491;3;0
;;Polyline2d;KB_Beschriftung;948C;3;0
;;Polyline;RR_Linie_Rigole_Rohr;9478;17.498;0
;;Polyline;RR_Linie_Rigole_Rohr;9477;18.282;0
;;Polyline;RR_Linie_Rigole;9476;22.4;19.8
;;Circle;RW_Kanal_DN200;946E;4.712;1.767
;;Circle;RW_Kanal_DN200;946D;5.655;2.545
;;Circle;RW_Kanal_DN200;946C;2.513;0.503
;;Circle;RR_Linie_Rigole_Schacht;946B;2.513;0.503
;;Circle;RW_Kanal_DN200;946A;4.712;1.767
;;Circle;RW_Kanal_DN200;9469;5.655;2.545
;;Circle;RW_Kanal_DN200;9468;2.513;0.503
;;Polyline;RR_Linie_Rigole;9467;36.605;22.1
;;Line;RR_Linie_Rigole_Rohr;9466;17.13;0
;;Line;RR_Linie_Rigole_Rohr;9465;17.134;0
;;Circle;RW_Kanal_DN200;9455;4.712;1.767
;;Circle;RW_Kanal_DN200;9454;5.655;2.545
;;Circle;RW_Kanal_DN200;9453;2.513;0.503
;;Polyline2d;Speedpipe2x10;944F;3.822;0
;;Polyline;RW_Kanal_DN200;944E;0;0
;;Polyline;RW_Kanal_DN200;944D;0.006;0
;;Circle;RW_Kanal_DN200;944C;4.712;1.767
;;Circle;RW_Kanal_DN200;944B;5.655;2.545
;;Circle;RW_Kanal_DN200;944A;2.513;0.503
;;Circle;RW_Kanal_DN200;9449;4.712;1.767
;;Circle;RW_Kanal_DN200;9448;5.655;2.545
;;Circle;RW_Kanal_DN200;9447;2.513;0.503
;;Circle;RR_Linie_Rigole_Schacht;9446;2.513;0.503
;;Circle;RW_Kanal_DN200;9445;2.513;0.503
;;Circle;RW_Kanal_DN200;9444;2.513;0.503
;;Circle;RW_Kanal_DN200;9443;2.513;0.503
;;Polyline2d;KB_Beschriftung;938E;2.882;0
;;Polyline2d;KB_Beschriftung;9345;1.451;0
;;Polyline2d;KB_Beschriftung;933B;1.513;0
;;Polyline2d;KB_Beschriftung;9332;1.513;0
;;Polyline2d;KB_Beschriftung;9329;1.566;0
;;Polyline2d;KB_Beschriftung;9320;1.513;0
;;Polyline2d;KB_Beschriftung;9317;1.554;0
;;Polyline2d;KB_Beschriftung;930E;1.577;0
;;Polyline2d;KB_Beschriftung;9309;1.776;0
;;Polyline2d;KB_Beschriftung;9300;2.396;0
;;Polyline2d;KB_Beschriftung;92F7;2.396;0
;;Polyline2d;KB_Beschriftung;92E7;3.567;0
;;Polyline2d;KB_Beschriftung;92DE;2.924;0
;;Polyline2d;KB_Beschriftung;92D5;2.525;0
;;Polyline2d;KB_Beschriftung;92CC;2.425;0
;;Polyline2d;KB_Beschriftung;92C3;2.481;0
;;Polyline2d;KB_Beschriftung;92BE;2.396;0
;;Polyline2d;KB_Beschriftung;92B5;3.214;0
;;Polyline2d;KB_Beschriftung;92A8;2.396;0
;;Polyline2d;KB_Beschriftung;929F;2.594;0
;;Polyline2d;KB_Beschriftung;9296;2.847;0
;;Polyline2d;KB_Beschriftung;928D;2.396;0
;;Polyline2d;KB_Beschriftung;9284;1.801;0
;;Polyline2d;KB_Beschriftung;927B;3.431;0
;;Polyline2d;KB_Beschriftung;9272;2.754;0
;;Polyline2d;KB_Beschriftung;9265;1.624;0
;;Polyline2d;KB_Beschriftung;925C;1.97;0
;;Polyline2d;KB_Beschriftung;9253;2.462;0
;;Polyline2d;KB_Beschriftung;9245;3.004;0
;;Polyline2d;KB_Beschriftung;923C;2.475;0
;;Polyline2d;KB_Beschriftung;9233;2.721;0
;;Polyline2d;KB_Beschriftung;922A;2.862;0
;;Polyline2d;KB_Beschriftung;9221;2.37;0
;;Polyline2d;KB_Beschriftung;9218;2.723;0
;;Polyline2d;KB_Beschriftung;920F;2.723;0
;;Polyline2d;KB_Beschriftung;9206;2.925;0
;;Polyline2d;KB_Beschriftung;91F9;2.494;0
;;Polyline2d;KB_Beschriftung;91EF;2.038;0
;;Polyline2d;KB_Beschriftung;91E6;2.163;0
;;Polyline2d;KB_Beschriftung;91DD;1.98;0
;;Polyline2d;KB_Beschriftung;91D4;2.162;0
;;Polyline2d;KB_Beschriftung;91CB;3.416;0
;;Polyline2d;KB_Beschriftung;91C1;2.654;0
;;Polyline2d;KB_Beschriftung;91B8;2.148;0
;;Polyline2d;KB_Beschriftung;91AF;2.615;0
;;Polyline2d;KB_Beschriftung;91A6;2.615;0
;;Polyline2d;RW_Kanal_DN200;9197;1.297;0
;;Polyline2d;RW_Kanal_DN150;9190;11.265;0
;;Polyline2d;RW_Kanal_DN200;9188;7.728;0
;;Polyline2d;RW_Kanal_DN200;9182;3.477;0
;;Polyline2d;RW_Kanal_DN150;9175;19.808;0
;;Polyline2d;RW_Kanal_DN150;9170;4.554;0
;;Polyline2d;RW_Kanal_DN150;9168;6.44;0
;;Polyline2d;RW_Kanal_DN200;9163;2.744;0
;;Polyline2d;RW_Kanal_DN150;9153;18.369;0
;;Polyline2d;RW_Kanal_DN200;914A;21.403;0
;;Polyline2d;RW_Kanal_DN150;9145;1.174;0
;;Polyline2d;RW_Kanal_DN200;913C;23.516;0
;;Polyline2d;RW_Kanal_DN150;9138;0.994;0
;;Polyline2d;RW_Kanal_DN150;912F;21.98;0
;;Polyline2d;RW_Kanal_DN150;9123;12.859;0
;;Polyline2d;RW_Kanal_DN150;911C;3.965;0
;;Polyline2d;RW_Kanal_DN200;9117;1.783;0
;;Polyline2d;RW_Kanal_DN150;90FA;0.967;0
;;Polyline2d;RW_Kanal_DN200;90F1;12.759;0
;;Polyline2d;RW_Kanal_DN150;90EA;5.425;0
;;Polyline2d;RW_Kanal_DN150;90E1;11.625;0
;;Arc;KB_Rohr_RW;8DE8;0.356;0
;;Arc;KB_Rohr_RW;8DE7;0.116;0
;;Arc;KB_Schacht_RW;8DE6;1.279;0
;;Arc;KB_Schacht_RW;8DE5;0.354;0
;;Arc;KB_Schacht_RW;8DE4;0.347;0
