Positionsnummer;Kurztext;Langtext;Einheit;Preis;Kategorie
02.09.0001;Erdarbeiten Aushub bis 1.01 m;Erdarbeiten: Aushub bis 1.77 m, Bodenklasse nichtbindig, Böschung 1:1.5, Verladung/Transport/Wiedereinbau geeigneter Massen. Verdichtung ≥96 % Proctor. Abschnitt 42, Segment 429. Ausführung nach DIN 18300, DIN 1998, ZTV Asphalt‑StB. Abrechnung nach m³. Nachweis: Messprotokoll.;m³;33.25;Erdarbeiten
03.01.0002;Leitung DN63 PVC-U verlegen;Liefern und Verlegen einer Rohrleitung DN110 aus PE100-RC in Sandbettung (≥15 cm), Verdichtung, Formstücke, Abzweige und Oberflächenwiederherstellung. Abschnitt 25, Segment 51. Dichtheitsprüfung gemäß DAfStb-Richtlinie, DIN 18300, DIN EN 1610. Abrechnung nach m. Nachweis: Fotoprotokoll.;m;88.39;Leitungen
04.11.0003;Fertigteilschacht DN1200 setzen;Fertigteilschacht DN800, Tiefe 6 m, Fundament, Konus, Steigeisen, Abdeckung Kl. B125. Zu-/Abläufe einbinden, Fugen abdichten. Abschnitt 30, Segment 182. Ausführung gem. DIN 18300, DIN 1998, DIN EN 1610, ZTV Pflaster‑StB. Abrechnung pro St. Nachweis: As‑Built.;St;200.62;Schachtbau
05.03.0004;Asphalteinbau SMA 11 S 8 cm;Asphalteinbau: SMA 11 S Dicke 10 cm, Binderschicht/Tragschicht entsprechend ZTV. Flächenverdichtung. Abschnitt 6, Segment 301. Verdichtung und Ebenheit nach DIN 1045‑2, DIN 4124, ZTV Asphalt‑StB. Abrechnung nach m². Nachweis: Messprotokoll.;m²;37.17;Straßenbau
06.08.0005;Pflaster Basalt-Mosaik liefern & verlegen;Pflasterdecke Granit Großpflaster 14/17, Bettung 5 cm, Tragschicht 14 cm, Fugenverfüllung und Abrütteln. Randsteine setzen. Abschnitt 45, Segment 38. Ausführung nach DAfStb-Richtlinie, DIN 18300, DIN 1998, DIN EN 206. Abrechnung nach m². Nachweis: Messprotokoll.;m²;27.21;Pflaster
07.10.0006;Ortbeton C35/45 herstellen;Ortbetonbauteil in Klasse C45/55, Expositionsklasse XC3, Sichtklasse SB3. Schalung, Bewehrung, Einbau, Verdichtung, Nachbehandlung. Abschnitt 11, Segment 438. Ausführung gem. DAfStb-Richtlinie, DIN 1045‑2, TL SoB‑StB. Abrechnung nach m³. Nachweis: As‑Built.;m³;40.92;Betonbau
08.10.0007;Entwässerungsleitung DN600 PP-HM;Entwässerungsleitung DN250 aus PP-HM mit Gefälle 1.27 %, Bettung und Abdeckung gem. EN 1610. Reinigungsöffnungen, TV-Inspektion. Abschnitt 1, Segment 180. Ausführung nach DAfStb-Richtlinie, DIN 1045‑2, DIN 1998, ZTV Asphalt‑StB. Abrechnung nach m. Nachweis: Materialzertifikate.;m;81.24;Entwässerung
09.07.0008;Kabeltrasse H07RN-F 5G16 herstellen;Kabeltrasse H07RN-F 5G16 mit Warnband, Sandbettung ≥15 cm, Warnband. Streckenkilometer. Abschnitt 3, Segment 106. Dokumentation gem. DAfStb-Richtlinie, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: Fotoprotokoll.;m;26.23;Kabelbau
10.01.0009;Erdarbeiten Aushub bis 1.04 m;Erdarbeiten: Aushub bis 1.14 m, Bodenklasse bindig, Verbau KS, Verladung/Transport/Wiedereinbau geeigneter Massen. Verdichtung ≥97 % Proctor. Abschnitt 38, Segment 223. Ausführung nach DAfStb-Richtlinie, ZTV Asphalt‑StB. Abrechnung nach m³. Nachweis: Fotoprotokoll.;m³;50.69;Erdarbeiten
11.06.0010;Leitung DN225 PVC-U verlegen;Liefern und Verlegen einer Rohrleitung DN50 aus GfK in Sandbettung (≥15 cm), Verdichtung, Formstücke, Abzweige und Oberflächenwiederherstellung. Abschnitt 26, Segment 485. Dichtheitsprüfung gemäß DAfStb-Richtlinie, DIN 4124. Abrechnung nach m. Nachweis: Fotoprotokoll.;m;24.69;Leitungen
