Positionsnummer;Kurztext;Langtext;Einheit;Preis;Kategorie
07.10.0006;Ortbeton C35/45 herstellen;Ortbetonbauteil in Klasse C45/55, Expositionsklasse XC3, Sichtklasse SB3. Schalung, Bewehrung, Einbau, Verdichtung, Nachbehandlung. Abschnitt 11, Segment 438. Ausführung gem. DAfStb-Richtlinie, DIN 1045‑2, TL SoB‑StB. Abrechnung nach m³. Nachweis: As‑Built.;m³;40.92;Betonbau
03.03.0014;Ortbeton C50/60 herstellen;Ortbetonbauteil in Klasse C35/45, Expositionsklasse XA1, Sichtklasse SB1. Schalung, Bewehrung, Einbau, Verdichtung, Nachbehandlung. Abschnitt 33, Segment 321. Ausführung gem. DIN EN 1610, ZTV Asphalt‑StB. Abrechnung nach m³. Nachweis: Messprotokoll.;m³;57.25;Betonbau
11.08.0022;Ortbeton C40/50 herstellen;Ortbetonbauteil in Klasse C50/60, Expositionsklasse XF3, Sichtklasse SB2. Schalung, Bewehrung, Einbau, Verdichtung, Nachbehandlung. Abschnitt 12, Segment 104. Ausführung gem. DAfStb-Richtlinie, DIN EN 1610. Abrechnung nach m³. Nachweis: Materialzertifikate.;m³;18.31;Betonbau
07.02.0030;Ortbeton C50/60 herstellen;Ortbetonbauteil in Klasse C25/30, Expositionsklasse XA2, Sichtklasse SB3. Schalung, Bewehrung, Einbau, Verdichtung, Nachbehandlung. Abschnitt 42, Segment 299. Ausführung gem. DIN 18300, DIN 1998, DIN EN 1610. Abrechnung nach m³. Nachweis: Messprotokoll.;m³;48.42;Betonbau
03.11.0038;Ortbeton C35/45 herstellen;Ortbetonbauteil in Klasse C30/37, Expositionsklasse XD2, Sichtklasse SB3. Schalung, Bewehrung, Einbau, Verdichtung, Nachbehandlung. Abschnitt 23, Segment 229. Ausführung gem. DIN 1998, DIN 4124. Abrechnung nach m³. Nachweis: Prüfzeugnisse.;m³;34.49;Betonbau
11.01.0046;Ortbeton C45/55 herstellen;Ortbetonbauteil in Klasse C30/37, Expositionsklasse XA1, Sichtklasse SB3. Schalung, Bewehrung, Einbau, Verdichtung, Nachbehandlung. Abschnitt 35, Segment 60. Ausführung gem. DAfStb-Richtlinie, TL SoB‑StB. Abrechnung nach m³. Nachweis: As‑Built.;m³;48.9;Betonbau
07.12.0054;Ortbeton C40/50 herstellen;Ortbetonbauteil in Klasse C50/60, Expositionsklasse XD2, Sichtklasse SB1. Schalung, Bewehrung, Einbau, Verdichtung, Nachbehandlung. Abschnitt 26, Segment 340. Ausführung gem. DIN EN 1610, DIN EN 206, TL SoB‑StB, ZTV Asphalt‑StB. Abrechnung nach m³. Nachweis: Prüfzeugnisse.;m³;51.27;Betonbau
03.05.0062;Ortbeton C25/30 herstellen;Ortbetonbauteil in Klasse C50/60, Expositionsklasse XD2, Sichtklasse ohne Sichtanforderung. Schalung, Bewehrung, Einbau, Verdichtung, Nachbehandlung. Abschnitt 45, Segment 17. Ausführung gem. DIN 1045‑2, ZTV Asphalt‑StB. Abrechnung nach m³. Nachweis: Fotoprotokoll.;m³;35.48;Betonbau
11.08.0070;Ortbeton C25/30 herstellen;Ortbetonbauteil in Klasse C35/45, Expositionsklasse XF3, Sichtklasse SB1. Schalung, Bewehrung, Einbau, Verdichtung, Nachbehandlung. Abschnitt 24, Segment 486. Ausführung gem. DIN 4124, ZTV Asphalt‑StB. Abrechnung nach m³. Nachweis: Messprotokoll.;m³;25.13;Betonbau
07.06.0078;Ortbeton C25/30 herstellen;Ortbetonbauteil in Klasse C35/45, Expositionsklasse XA2, Sichtklasse SB1. Schalung, Bewehrung, Einbau, Verdichtung, Nachbehandlung. Abschnitt 4, Segment 398. Ausführung gem. DAfStb-Richtlinie, DIN 1998. Abrechnung nach m³. Nachweis: As‑Built.;m³;53.24;Betonbau
