Positionsnummer;Kurztext;Langtext;Einheit;Preis;Kategorie
08.10.0007;Entwässerungsleitung DN600 PP-HM;Entwässerungsleitung DN250 aus PP-HM mit Gefälle 1.27 %, Bettung und Abdeckung gem. EN 1610. Reinigungsöffnungen, TV-Inspektion. Abschnitt 1, Segment 180. Ausführung nach DAfStb-Richtlinie, DIN 1045‑2, DIN 1998, ZTV Asphalt‑StB. Abrechnung nach m. Nachweis: Materialzertifikate.;m;81.24;Entwässerung
04.01.0015;Entwässerungsleitung DN500 KG;Entwässerungsleitung DN500 aus Steinzeug mit Gefälle 0.98 %, Bettung und Abdeckung gem. EN 1610. Reinigungsöffnungen, TV-Inspektion. Abschnitt 44, Segment 303. Ausführung nach DAfStb-Richtlinie, DIN 1045‑2, TL SoB‑StB, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: Messprotokoll.;m;38.32;Entwässerung
12.05.0023;Entwässerungsleitung DN200 PP-HM;Entwässerungsleitung DN160 aus KG mit Gefälle 1.79 %, Bettung und Abdeckung gem. EN 1610. Reinigungsöffnungen, Dichtheitsprüfung. Abschnitt 4, Segment 215. Ausführung nach DIN 1998, DIN EN 206, TL SoB‑StB, ZTV Asphalt‑StB. Abrechnung nach m. Nachweis: Fotoprotokoll.;m;78.97;Entwässerung
08.11.0031;Entwässerungsleitung DN200 Steinzeug;Entwässerungsleitung DN800 aus PP-HM mit Gefälle 1.99 %, Bettung und Abdeckung gem. EN 1610. Rückstauklappen, TV-Inspektion. Abschnitt 9, Segment 496. Ausführung nach DIN 1998, DIN 4124. Abrechnung nach m. Nachweis: As‑Built.;m;15.45;Entwässerung
04.03.0039;Entwässerungsleitung DN300 Steinzeug;Entwässerungsleitung DN250 aus PP-HM mit Gefälle 1.4 %, Bettung und Abdeckung gem. EN 1610. Sandfang, Druckprüfung. Abschnitt 34, Segment 302. Ausführung nach DIN 1045‑2, DIN 1998, DIN EN 1610, DIN EN 206. Abrechnung nach m. Nachweis: Prüfzeugnisse.;m;73.01;Entwässerung
12.04.0047;Entwässerungsleitung DN400 Steinzeug;Entwässerungsleitung DN200 aus Beton mit Gefälle 2.02 %, Bettung und Abdeckung gem. EN 1610. Rückstauklappen, TV-Inspektion. Abschnitt 22, Segment 242. Ausführung nach DAfStb-Richtlinie, DIN 1045‑2, DIN EN 1610. Abrechnung nach m. Nachweis: Prüfzeugnisse.;m;29.8;Entwässerung
08.10.0055;Entwässerungsleitung DN100 Beton;Entwässerungsleitung DN200 aus Steinzeug mit Gefälle 1.44 %, Bettung und Abdeckung gem. EN 1610. Reinigungsöffnungen, Druckprüfung. Abschnitt 36, Segment 278. Ausführung nach DAfStb-Richtlinie, DIN 1998, DIN EN 1610, ZTV Asphalt‑StB. Abrechnung nach m. Nachweis: Fotoprotokoll.;m;51.69;Entwässerung
04.03.0063;Entwässerungsleitung DN200 PP-HM;Entwässerungsleitung DN125 aus Steinzeug mit Gefälle 0.76 %, Bettung und Abdeckung gem. EN 1610. Kontrollschächte, Druckprüfung. Abschnitt 41, Segment 253. Ausführung nach DIN 1045‑2, DIN 4124, DIN EN 1610, DIN EN 206. Abrechnung nach m. Nachweis: Messprotokoll.;m;88.99;Entwässerung
12.05.0071;Entwässerungsleitung DN150 PP-HM;Entwässerungsleitung DN600 aus KG mit Gefälle 1.47 %, Bettung und Abdeckung gem. EN 1610. Kontrollschächte, Dichtheitsprüfung. Abschnitt 7, Segment 109. Ausführung nach DAfStb-Richtlinie, DIN 1045‑2, DIN EN 1610. Abrechnung nach m. Nachweis: Messprotokoll.;m;61.65;Entwässerung
08.12.0079;Entwässerungsleitung DN1000 Steinzeug;Entwässerungsleitung DN250 aus KG mit Gefälle 0.6 %, Bettung und Abdeckung gem. EN 1610. Sandfang, Druckprüfung. Abschnitt 39, Segment 404. Ausführung nach DIN 1045‑2, DIN 4124, DIN EN 206, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: Messprotokoll.;m;73.44;Entwässerung
04.02.0087;Entwässerungsleitung DN200 Beton;Entwässerungsleitung DN500 aus KG mit Gefälle 2.02 %, Bettung und Abdeckung gem. EN 1610. Reinigungsöffnungen, TV-Inspektion. Abschnitt 46, Segment 375. Ausführung nach DIN 18300, DIN 4124, TL SoB‑StB. Abrechnung nach m. Nachweis: Messprotokoll.;m;73.97;Entwässerung
12.01.0095;Entwässerungsleitung DN1000 Beton;Entwässerungsleitung DN250 aus PP-HM mit Gefälle 0.58 %, Bettung und Abdeckung gem. EN 1610. Reinigungsöffnungen, Dichtheitsprüfung. Abschnitt 6, Segment 341. Ausführung nach DAfStb-Richtlinie, DIN 1998. Abrechnung nach m. Nachweis: Prüfzeugnisse.;m;49.56;Entwässerung
08.07.0103;Entwässerungsleitung DN300 KG;Entwässerungsleitung DN1000 aus PP-HM mit Gefälle 2.92 %, Bettung und Abdeckung gem. EN 1610. Rückstauklappen, TV-Inspektion. Abschnitt 33, Segment 211. Ausführung nach DIN 18300, ZTV Asphalt‑StB. Abrechnung nach m. Nachweis: Messprotokoll.;m;31.55;Entwässerung
04.07.0111;Entwässerungsleitung DN600 Beton;Entwässerungsleitung DN250 aus Steinzeug mit Gefälle 1.19 %, Bettung und Abdeckung gem. EN 1610. Sandfang, TV-Inspektion. Abschnitt 32, Segment 239. Ausführung nach DAfStb-Richtlinie, DIN 1045‑2, DIN 1998. Abrechnung nach m. Nachweis: Messprotokoll.;m;56.48;Entwässerung
12.11.0119;Entwässerungsleitung DN600 Beton;Entwässerungsleitung DN150 aus PP-HM mit Gefälle 2.34 %, Bettung und Abdeckung gem. EN 1610. Reinigungsöffnungen, Druckprüfung. Abschnitt 18, Segment 136. Ausführung nach DAfStb-Richtlinie, DIN 1045‑2, DIN EN 206. Abrechnung nach m. Nachweis: Messprotokoll.;m;55.05;Entwässerung
08.03.0127;Entwässerungsleitung DN500 Beton;Entwässerungsleitung DN1000 aus PP-HM mit Gefälle 1.13 %, Bettung und Abdeckung gem. EN 1610. Reinigungsöffnungen, Dichtheitsprüfung. Abschnitt 45, Segment 286. Ausführung nach DIN 1045‑2, DIN EN 1610. Abrechnung nach m. Nachweis: Materialzertifikate.;m;81.06;Entwässerung
04.12.0135;Entwässerungsleitung DN315 PP-HM;Entwässerungsleitung DN800 aus PP-HM mit Gefälle 1.11 %, Bettung und Abdeckung gem. EN 1610. Sandfang, Druckprüfung. Abschnitt 44, Segment 280. Ausführung nach DAfStb-Richtlinie, DIN 4124, DIN EN 206. Abrechnung nach m. Nachweis: Fotoprotokoll.;m;75.9;Entwässerung
12.01.0143;Entwässerungsleitung DN250 KG;Entwässerungsleitung DN200 aus KG mit Gefälle 2.43 %, Bettung und Abdeckung gem. EN 1610. Rückstauklappen, Druckprüfung. Abschnitt 32, Segment 397. Ausführung nach DIN 1045‑2, DIN 18300, DIN EN 206, TL SoB‑StB. Abrechnung nach m. Nachweis: As‑Built.;m;32.35;Entwässerung
08.12.0151;Entwässerungsleitung DN400 Beton;Entwässerungsleitung DN600 aus KG mit Gefälle 0.79 %, Bettung und Abdeckung gem. EN 1610. Rückstauklappen, TV-Inspektion. Abschnitt 9, Segment 65. Ausführung nach DAfStb-Richtlinie, DIN 1998, DIN EN 1610, DIN EN 206. Abrechnung nach m. Nachweis: Fotoprotokoll.;m;10.29;Entwässerung
04.01.0159;Entwässerungsleitung DN250 Beton;Entwässerungsleitung DN100 aus Beton mit Gefälle 1.84 %, Bettung und Abdeckung gem. EN 1610. Sandfang, Druckprüfung. Abschnitt 12, Segment 42. Ausführung nach DIN 18300, DIN 1998, DIN 4124, DIN EN 206. Abrechnung nach m. Nachweis: Prüfzeugnisse.;m;69.04;Entwässerung
12.06.0167;Entwässerungsleitung DN400 KG;Entwässerungsleitung DN200 aus Beton mit Gefälle 2.95 %, Bettung und Abdeckung gem. EN 1610. Sandfang, Druckprüfung. Abschnitt 27, Segment 392. Ausführung nach DIN 18300, DIN 4124, ZTV Asphalt‑StB. Abrechnung nach m. Nachweis: Messprotokoll.;m;80.81;Entwässerung
08.08.0175;Entwässerungsleitung DN500 PP-HM;Entwässerungsleitung DN150 aus Steinzeug mit Gefälle 2.66 %, Bettung und Abdeckung gem. EN 1610. Sandfang, Dichtheitsprüfung. Abschnitt 7, Segment 200. Ausführung nach DIN 1045‑2, DIN EN 1610. Abrechnung nach m. Nachweis: Messprotokoll.;m;58.14;Entwässerung
04.06.0183;Entwässerungsleitung DN200 Beton;Entwässerungsleitung DN100 aus PP-HM mit Gefälle 1.16 %, Bettung und Abdeckung gem. EN 1610. Reinigungsöffnungen, Dichtheitsprüfung. Abschnitt 29, Segment 110. Ausführung nach DIN 1045‑2, DIN 18300, DIN EN 206, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: Prüfzeugnisse.;m;8.98;Entwässerung
12.03.0191;Entwässerungsleitung DN100 Beton;Entwässerungsleitung DN500 aus Beton mit Gefälle 2.47 %, Bettung und Abdeckung gem. EN 1610. Sandfang, TV-Inspektion. Abschnitt 10, Segment 313. Ausführung nach DIN 1045‑2, DIN 18300. Abrechnung nach m. Nachweis: Materialzertifikate.;m;81.72;Entwässerung
08.04.0199;Entwässerungsleitung DN315 Beton;Entwässerungsleitung DN200 aus KG mit Gefälle 1.21 %, Bettung und Abdeckung gem. EN 1610. Sandfang, Dichtheitsprüfung. Abschnitt 14, Segment 96. Ausführung nach DAfStb-Richtlinie, ZTV Asphalt‑StB. Abrechnung nach m. Nachweis: Fotoprotokoll.;m;20.81;Entwässerung
04.12.0207;Entwässerungsleitung DN125 Steinzeug;Entwässerungsleitung DN150 aus KG mit Gefälle 0.53 %, Bettung und Abdeckung gem. EN 1610. Reinigungsöffnungen, Druckprüfung. Abschnitt 12, Segment 167. Ausführung nach DAfStb-Richtlinie, DIN 18300, DIN EN 1610, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: As‑Built.;m;87.76;Entwässerung
12.08.0215;Entwässerungsleitung DN500 PP-HM;Entwässerungsleitung DN150 aus KG mit Gefälle 2.67 %, Bettung und Abdeckung gem. EN 1610. Sandfang, TV-Inspektion. Abschnitt 30, Segment 300. Ausführung nach DAfStb-Richtlinie, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: Materialzertifikate.;m;33.26;Entwässerung
