Positionsnummer;Kurztext;Langtext;Einheit;Preis;Kategorie
02.09.0001;Erdarbeiten Aushub bis 1.01 m;Erdarbeiten: Aushub bis 1.77 m, Bodenklasse nichtbindig, Böschung 1:1.5, Verladung/Transport/Wiedereinbau geeigneter Massen. Verdichtung ≥96 % Proctor. Abschnitt 42, Segment 429. Ausführung nach DIN 18300, DIN 1998, ZTV Asphalt‑StB. Abrechnung nach m³. Nachweis: Messprotokoll.;m³;33.25;Erdarbeiten
10.01.0009;Erdarbeiten Aushub bis 1.04 m;Erdarbeiten: Aushub bis 1.14 m, Bodenklasse bindig, Verbau KS, Verladung/Transport/Wiedereinbau geeigneter Massen. Verdichtung ≥97 % Proctor. Abschnitt 38, Segment 223. Ausführung nach DAfStb-Richtlinie, ZTV Asphalt‑StB. Abrechnung nach m³. Nachweis: Fotoprotokoll.;m³;50.69;Erdarbeiten
06.09.0017;Erdarbeiten Aushub bis 2.69 m;Erdarbeiten: Aushub bis 0.92 m, Bodenklasse nichtbindig, Verbau Trägerbohlen, Verladung/Transport/Wiedereinbau geeigneter Massen. Verdichtung ≥97 % Proctor. Abschnitt 46, Segment 299. Ausführung nach DIN 1998, DIN EN 1610, ZTV Asphalt‑StB. Abrechnung nach m³. Nachweis: Materialzertifikate.;m³;61.91;Erdarbeiten
02.02.0025;Erdarbeiten Aushub bis 1.15 m;Erdarbeiten: Aushub bis 2.2 m, Bodenklasse felsig, Böschung 1:1.5, Verladung/Transport/Wiedereinbau geeigneter Massen. Verdichtung ≥96 % Proctor. Abschnitt 45, Segment 5. Ausführung nach ZTV Asphalt‑StB, ZTV Pflaster‑StB. Abrechnung nach m³. Nachweis: Materialzertifikate.;m³;14.74;Erdarbeiten
10.10.0033;Erdarbeiten Aushub bis 0.93 m;Erdarbeiten: Aushub bis 1.81 m, Bodenklasse BK 3–5, Böschung 1:1.5, Verladung/Transport/Wiedereinbau geeigneter Massen. Verdichtung ≥98 % Proctor. Abschnitt 48, Segment 267. Ausführung nach DIN EN 1610, ZTV Asphalt‑StB, ZTV Pflaster‑StB. Abrechnung nach m³. Nachweis: Messprotokoll.;m³;37.69;Erdarbeiten
06.07.0041;Erdarbeiten Aushub bis 2.35 m;Erdarbeiten: Aushub bis 0.82 m, Bodenklasse bindig, Verbau KS, Verladung/Transport/Wiedereinbau geeigneter Massen. Verdichtung ≥96 % Proctor. Abschnitt 44, Segment 226. Ausführung nach DIN 18300, DIN 1998, ZTV Pflaster‑StB. Abrechnung nach m³. Nachweis: Prüfzeugnisse.;m³;62.61;Erdarbeiten
02.06.0049;Erdarbeiten Aushub bis 1.22 m;Erdarbeiten: Aushub bis 0.98 m, Bodenklasse nichtbindig, Verbau KS, Verladung/Transport/Wiedereinbau geeigneter Massen. Verdichtung ≥96 % Proctor. Abschnitt 49, Segment 419. Ausführung nach DIN EN 1610, TL SoB‑StB. Abrechnung nach m³. Nachweis: Fotoprotokoll.;m³;56.71;Erdarbeiten
10.02.0057;Erdarbeiten Aushub bis 2.75 m;Erdarbeiten: Aushub bis 2.16 m, Bodenklasse BK 2–3, Verbau Trägerbohlen, Verladung/Transport/Wiedereinbau geeigneter Massen. Verdichtung ≥95 % Proctor. Abschnitt 15, Segment 427. Ausführung nach DIN EN 206, TL SoB‑StB. Abrechnung nach m³. Nachweis: Messprotokoll.;m³;12.23;Erdarbeiten
06.12.0065;Erdarbeiten Aushub bis 1.53 m;Erdarbeiten: Aushub bis 1.81 m, Bodenklasse felsig, Böschung 1:1.5, Verladung/Transport/Wiedereinbau geeigneter Massen. Verdichtung ≥97 % Proctor. Abschnitt 16, Segment 37. Ausführung nach DAfStb-Richtlinie, DIN 18300. Abrechnung nach m³. Nachweis: Fotoprotokoll.;m³;51.34;Erdarbeiten
02.02.0073;Erdarbeiten Aushub bis 1.77 m;Erdarbeiten: Aushub bis 2.39 m, Bodenklasse BK 3–5, Verbau Trägerbohlen, Verladung/Transport/Wiedereinbau geeigneter Massen. Verdichtung ≥96 % Proctor. Abschnitt 40, Segment 463. Ausführung nach DIN 18300, DIN 4124. Abrechnung nach m³. Nachweis: As‑Built.;m³;52.32;Erdarbeiten
10.10.0081;Erdarbeiten Aushub bis 0.98 m;Erdarbeiten: Aushub bis 1.18 m, Bodenklasse BK 3–5, Verbau Trägerbohlen, Verladung/Transport/Wiedereinbau geeigneter Massen. Verdichtung ≥97 % Proctor. Abschnitt 49, Segment 324. Ausführung nach DIN 4124, DIN EN 1610. Abrechnung nach m³. Nachweis: Fotoprotokoll.;m³;52.42;Erdarbeiten
06.04.0089;Erdarbeiten Aushub bis 2.53 m;Erdarbeiten: Aushub bis 0.99 m, Bodenklasse nichtbindig, Verbau KS, Verladung/Transport/Wiedereinbau geeigneter Massen. Verdichtung ≥95 % Proctor. Abschnitt 42, Segment 360. Ausführung nach DAfStb-Richtlinie, DIN 18300, DIN EN 206, ZTV Asphalt‑StB. Abrechnung nach m³. Nachweis: As‑Built.;m³;36.33;Erdarbeiten
02.03.0097;Erdarbeiten Aushub bis 2.25 m;Erdarbeiten: Aushub bis 1.43 m, Bodenklasse bindig, Böschung 1:1.5, Verladung/Transport/Wiedereinbau geeigneter Massen. Verdichtung ≥98 % Proctor. Abschnitt 30, Segment 204. Ausführung nach DAfStb-Richtlinie, DIN 1045‑2, DIN 18300, ZTV Pflaster‑StB. Abrechnung nach m³. Nachweis: Messprotokoll.;m³;41.42;Erdarbeiten
