Positionsnummer;Kurztext;Langtext;Einheit;Preis;Kategorie
09.07.0008;Kabeltrasse H07RN-F 5G16 herstellen;Kabeltrasse H07RN-F 5G16 mit Warnband, Sandbettung ≥15 cm, Warnband. Streckenkilometer. Abschnitt 3, Segment 106. Dokumentation gem. DAfStb-Richtlinie, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: Fotoprotokoll.;m;26.23;Kabelbau
05.10.0016;Kabeltrasse N2XY 4x25 herstellen;Kabeltrasse NYY-J 5x10 mit Warnband, Sandbettung ≥10 cm, Warnband. Streckenkilometer. Abschnitt 46, Segment 397. Dokumentation gem. DIN 1045‑2, DIN 1998, TL SoB‑StB. Abrechnung nach m. Nachweis: Fotoprotokoll.;m;34.75;Kabelbau
01.05.0024;Kabeltrasse N2XY 4x25 herstellen;Kabeltrasse NYY-J 4x16 mit Betonplatte, Sandbettung ≥10 cm, Warnband. Schachtbeschriftung. Abschnitt 1, Segment 27. Dokumentation gem. DIN 18300, ZTV Asphalt‑StB, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: Messprotokoll.;m;14.85;Kabelbau
09.12.0032;Kabeltrasse NA2XS(F)2Y 1x240 herstellen;Kabeltrasse H07RN-F 5G16 mit Kabelschutzrohr DN110, Sandbettung ≥25 cm, Warnband. Markerband. Abschnitt 23, Segment 455. Dokumentation gem. DIN 1045‑2, DIN 1998, DIN EN 1610, TL SoB‑StB. Abrechnung nach m. Nachweis: Prüfzeugnisse.;m;64.97;Kabelbau
05.11.0040;Kabeltrasse NYY-J 3x50 herstellen;Kabeltrasse N2XY 4x25 mit Betonplatte, Sandbettung ≥25 cm, Warnband. Streckenkilometer. Abschnitt 33, Segment 203. Dokumentation gem. DIN EN 206, ZTV Asphalt‑StB. Abrechnung nach m. Nachweis: As‑Built.;m;60.05;Kabelbau
01.07.0048;Kabeltrasse NYY-J 4x16 herstellen;Kabeltrasse NA2XS(F)2Y 1x240 mit Kabelschutzrohr DN110, Sandbettung ≥10 cm, Warnband. Schachtbeschriftung. Abschnitt 28, Segment 158. Dokumentation gem. DIN 4124, TL SoB‑StB. Abrechnung nach m. Nachweis: Materialzertifikate.;m;44.82;Kabelbau
09.03.0056;Kabeltrasse NYY-J 5x10 herstellen;Kabeltrasse NYY-J 3x50 mit Doppelrohr DN125, Sandbettung ≥25 cm, Warnband. Markerband. Abschnitt 31, Segment 43. Dokumentation gem. DAfStb-Richtlinie, DIN 1998, DIN 4124, DIN EN 206. Abrechnung nach m. Nachweis: As‑Built.;m;53.73;Kabelbau
05.09.0064;Kabeltrasse H07RN-F 5G16 herstellen;Kabeltrasse N2XY 4x25 mit Betonplatte, Sandbettung ≥15 cm, Warnband. Markerband. Abschnitt 22, Segment 20. Dokumentation gem. DIN 1998, DIN EN 206, ZTV Asphalt‑StB, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: Fotoprotokoll.;m;63.5;Kabelbau
01.05.0072;Kabeltrasse NYY-J 4x16 herstellen;Kabeltrasse H07RN-F 5G16 mit Kabelschutzrohr DN110, Sandbettung ≥15 cm, Warnband. Markerband. Abschnitt 21, Segment 71. Dokumentation gem. DIN EN 1610, TL SoB‑StB. Abrechnung nach m. Nachweis: As‑Built.;m;84.93;Kabelbau
09.02.0080;Kabeltrasse NYY-J 5x10 herstellen;Kabeltrasse H07RN-F 5G16 mit Betonplatte, Sandbettung ≥20 cm, Warnband. Markerband. Abschnitt 35, Segment 101. Dokumentation gem. DIN 1045‑2, DIN 1998, DIN 4124, DIN EN 206. Abrechnung nach m. Nachweis: As‑Built.;m;30.84;Kabelbau
05.10.0088;Kabeltrasse N2XY 4x25 herstellen;Kabeltrasse NYY-J 5x10 mit Warnband, Sandbettung ≥25 cm, Warnband. Schachtbeschriftung. Abschnitt 40, Segment 169. Dokumentation gem. DIN 18300, DIN 1998, DIN EN 1610, ZTV Asphalt‑StB. Abrechnung nach m. Nachweis: Prüfzeugnisse.;m;48.61;Kabelbau
01.06.0096;Kabeltrasse N2XY 4x25 herstellen;Kabeltrasse NYY-J 3x50 mit Kabelschutzrohr DN110, Sandbettung ≥15 cm, Warnband. Streckenkilometer. Abschnitt 41, Segment 215. Dokumentation gem. DIN 1998, DIN EN 206, TL SoB‑StB. Abrechnung nach m. Nachweis: Materialzertifikate.;m;36.22;Kabelbau
09.05.0104;Kabeltrasse N2XY 4x25 herstellen;Kabeltrasse N2XY 4x25 mit Betonplatte, Sandbettung ≥10 cm, Warnband. Markerband. Abschnitt 13, Segment 442. Dokumentation gem. DAfStb-Richtlinie, DIN 4124, TL SoB‑StB, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: Fotoprotokoll.;m;84.14;Kabelbau
05.04.0112;Kabeltrasse NYY-J 4x16 herstellen;Kabeltrasse NYY-J 3x50 mit Doppelrohr DN125, Sandbettung ≥15 cm, Warnband. Streckenkilometer. Abschnitt 30, Segment 316. Dokumentation gem. DIN 1045‑2, DIN 4124. Abrechnung nach m. Nachweis: Materialzertifikate.;m;5.91;Kabelbau
01.07.0120;Kabeltrasse NA2XS(F)2Y 1x240 herstellen;Kabeltrasse H07RN-F 5G16 mit Kabelschutzrohr DN110, Sandbettung ≥25 cm, Warnband. Schachtbeschriftung. Abschnitt 46, Segment 42. Dokumentation gem. DAfStb-Richtlinie, DIN 4124, DIN EN 1610. Abrechnung nach m. Nachweis: As‑Built.;m;41.97;Kabelbau
09.08.0128;Kabeltrasse NYY-J 4x16 herstellen;Kabeltrasse NYY-J 3x50 mit Warnband, Sandbettung ≥20 cm, Warnband. Markerband. Abschnitt 5, Segment 72. Dokumentation gem. DIN 1045‑2, DIN EN 1610, TL SoB‑StB, ZTV Asphalt‑StB. Abrechnung nach m. Nachweis: Prüfzeugnisse.;m;82.41;Kabelbau
05.07.0136;Kabeltrasse N2XY 4x25 herstellen;Kabeltrasse H07RN-F 5G16 mit Warnband, Sandbettung ≥25 cm, Warnband. Markerband. Abschnitt 14, Segment 217. Dokumentation gem. DIN 4124, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: Materialzertifikate.;m;35.77;Kabelbau
01.08.0144;Kabeltrasse H07RN-F 5G16 herstellen;Kabeltrasse N2XY 4x25 mit Sandbettung, Sandbettung ≥25 cm, Warnband. Streckenkilometer. Abschnitt 24, Segment 259. Dokumentation gem. DIN 1045‑2, DIN EN 206, TL SoB‑StB, ZTV Asphalt‑StB. Abrechnung nach m. Nachweis: Messprotokoll.;m;52.67;Kabelbau
09.10.0152;Kabeltrasse H07RN-F 5G16 herstellen;Kabeltrasse NYY-J 4x16 mit Kabelschutzrohr DN110, Sandbettung ≥10 cm, Warnband. Streckenkilometer. Abschnitt 7, Segment 420. Dokumentation gem. DIN EN 1610, DIN EN 206, TL SoB‑StB, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: As‑Built.;m;62.31;Kabelbau
05.03.0160;Kabeltrasse H07RN-F 5G16 herstellen;Kabeltrasse NYY-J 5x10 mit Warnband, Sandbettung ≥10 cm, Warnband. Schachtbeschriftung. Abschnitt 15, Segment 258. Dokumentation gem. DAfStb-Richtlinie, DIN 18300, ZTV Asphalt‑StB, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: As‑Built.;m;81.03;Kabelbau
