Positionsnummer;Kurztext;Langtext;Einheit;Preis;Kategorie
03.01.0002;Leitung DN63 PVC-U verlegen;Liefern und Verlegen einer Rohrleitung DN110 aus PE100-RC in Sandbettung (≥15 cm), Verdichtung, Formstücke, Abzweige und Oberflächenwiederherstellung. Abschnitt 25, Segment 51. Dichtheitsprüfung gemäß DAfStb-Richtlinie, DIN 18300, DIN EN 1610. Abrechnung nach m. Nachweis: Fotoprotokoll.;m;88.39;Leitungen
11.06.0010;Leitung DN225 PVC-U verlegen;Liefern und Verlegen einer Rohrleitung DN50 aus GfK in Sandbettung (≥15 cm), Verdichtung, Formstücke, Abzweige und Oberflächenwiederherstellung. Abschnitt 26, Segment 485. Dichtheitsprüfung gemäß DAfStb-Richtlinie, DIN 4124. Abrechnung nach m. Nachweis: Fotoprotokoll.;m;24.69;Leitungen
07.05.0018;Leitung DN50 PE100-RC verlegen;Liefern und Verlegen einer Rohrleitung DN63 aus GGG in Sandbettung (≥20 cm), Verdichtung, Formstücke, Abzweige und Oberflächenwiederherstellung. Abschnitt 34, Segment 219. Dichtheitsprüfung gemäß DIN 1998, DIN EN 1610, TL SoB‑StB. Abrechnung nach m. Nachweis: Messprotokoll.;m;82.91;Leitungen
03.11.0026;Leitung DN75 PP-HM verlegen;Liefern und Verlegen einer Rohrleitung DN280 aus Stahl S235 in Sandbettung (≥15 cm), Verdichtung, Formstücke, Abzweige und Oberflächenwiederherstellung. Abschnitt 8, Segment 33. Dichtheitsprüfung gemäß TL SoB‑StB, ZTV Asphalt‑StB, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: Messprotokoll.;m;18.36;Leitungen
11.05.0034;Leitung DN110 PVC-U verlegen;Liefern und Verlegen einer Rohrleitung DN180 aus PVC-U in Sandbettung (≥10 cm), Verdichtung, Formstücke, Abzweige und Oberflächenwiederherstellung. Abschnitt 13, Segment 301. Dichtheitsprüfung gemäß DAfStb-Richtlinie, DIN 18300, DIN EN 206, TL SoB‑StB. Abrechnung nach m. Nachweis: Fotoprotokoll.;m;12.58;Leitungen
07.08.0042;Leitung DN40 PE100-RC verlegen;Liefern und Verlegen einer Rohrleitung DN225 aus Stahl S235 in Sandbettung (≥15 cm), Verdichtung, Formstücke, Abzweige und Oberflächenwiederherstellung. Abschnitt 15, Segment 36. Dichtheitsprüfung gemäß DIN 1045‑2, DIN 4124, TL SoB‑StB, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: As‑Built.;m;38.69;Leitungen
03.03.0050;Leitung DN400 PE100-RC verlegen;Liefern und Verlegen einer Rohrleitung DN90 aus PE100-RC in Sandbettung (≥30 cm), Verdichtung, Formstücke, Abzweige und Oberflächenwiederherstellung. Abschnitt 4, Segment 59. Dichtheitsprüfung gemäß DIN 18300, DIN 1998, DIN EN 1610, TL SoB‑StB. Abrechnung nach m. Nachweis: Prüfzeugnisse.;m;22.09;Leitungen
11.01.0058;Leitung DN315 PE100-RC verlegen;Liefern und Verlegen einer Rohrleitung DN250 aus Stahl S235 in Sandbettung (≥30 cm), Verdichtung, Formstücke, Abzweige und Oberflächenwiederherstellung. Abschnitt 37, Segment 339. Dichtheitsprüfung gemäß DIN 18300, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: Materialzertifikate.;m;56.02;Leitungen
07.01.0066;Leitung DN32 PP-HM verlegen;Liefern und Verlegen einer Rohrleitung DN400 aus PE100-RC in Sandbettung (≥15 cm), Verdichtung, Formstücke, Abzweige und Oberflächenwiederherstellung. Abschnitt 7, Segment 369. Dichtheitsprüfung gemäß DAfStb-Richtlinie, DIN 18300, DIN 4124, DIN EN 1610. Abrechnung nach m. Nachweis: Messprotokoll.;m;4.35;Leitungen
03.11.0074;Leitung DN180 PP-HM verlegen;Liefern und Verlegen einer Rohrleitung DN125 aus GfK in Sandbettung (≥10 cm), Verdichtung, Formstücke, Abzweige und Oberflächenwiederherstellung. Abschnitt 3, Segment 412. Dichtheitsprüfung gemäß DIN 1045‑2, DIN 18300, DIN EN 206, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: Messprotokoll.;m;78.85;Leitungen
11.05.0082;Leitung DN32 PE100-RC verlegen;Liefern und Verlegen einer Rohrleitung DN160 aus GfK in Sandbettung (≥20 cm), Verdichtung, Formstücke, Abzweige und Oberflächenwiederherstellung. Abschnitt 32, Segment 351. Dichtheitsprüfung gemäß DIN 1045‑2, DIN 1998. Abrechnung nach m. Nachweis: Prüfzeugnisse.;m;56.65;Leitungen
07.07.0090;Leitung DN125 PP-HM verlegen;Liefern und Verlegen einer Rohrleitung DN63 aus PVC-U in Sandbettung (≥30 cm), Verdichtung, Formstücke, Abzweige und Oberflächenwiederherstellung. Abschnitt 3, Segment 45. Dichtheitsprüfung gemäß DIN 18300, DIN 1998, DIN 4124, DIN EN 1610. Abrechnung nach m. Nachweis: As‑Built.;m;18.77;Leitungen
03.04.0098;Leitung DN280 PP-HM verlegen;Liefern und Verlegen einer Rohrleitung DN160 aus GfK in Sandbettung (≥20 cm), Verdichtung, Formstücke, Abzweige und Oberflächenwiederherstellung. Abschnitt 1, Segment 266. Dichtheitsprüfung gemäß DAfStb-Richtlinie, DIN 4124, DIN EN 206. Abrechnung nach m. Nachweis: Materialzertifikate.;m;74.0;Leitungen
11.03.0106;Leitung DN315 GfK verlegen;Liefern und Verlegen einer Rohrleitung DN40 aus Stahl S235 in Sandbettung (≥20 cm), Verdichtung, Formstücke, Abzweige und Oberflächenwiederherstellung. Abschnitt 22, Segment 101. Dichtheitsprüfung gemäß DIN 4124, DIN EN 1610, DIN EN 206, ZTV Asphalt‑StB. Abrechnung nach m. Nachweis: Fotoprotokoll.;m;29.09;Leitungen
07.08.0114;Leitung DN200 Stahl S235 verlegen;Liefern und Verlegen einer Rohrleitung DN110 aus PVC-U in Sandbettung (≥10 cm), Verdichtung, Formstücke, Abzweige und Oberflächenwiederherstellung. Abschnitt 12, Segment 216. Dichtheitsprüfung gemäß DIN EN 1610, DIN EN 206, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: Materialzertifikate.;m;85.35;Leitungen
03.02.0122;Leitung DN225 PVC-U verlegen;Liefern und Verlegen einer Rohrleitung DN50 aus GfK in Sandbettung (≥30 cm), Verdichtung, Formstücke, Abzweige und Oberflächenwiederherstellung. Abschnitt 10, Segment 190. Dichtheitsprüfung gemäß DIN 1998, DIN 4124. Abrechnung nach m. Nachweis: Prüfzeugnisse.;m;53.7;Leitungen
11.01.0130;Leitung DN75 GGG verlegen;Liefern und Verlegen einer Rohrleitung DN40 aus PE100-RC in Sandbettung (≥10 cm), Verdichtung, Formstücke, Abzweige und Oberflächenwiederherstellung. Abschnitt 6, Segment 345. Dichtheitsprüfung gemäß DIN 1045‑2, DIN EN 206, ZTV Asphalt‑StB. Abrechnung nach m. Nachweis: Prüfzeugnisse.;m;51.47;Leitungen
07.09.0138;Leitung DN225 GGG verlegen;Liefern und Verlegen einer Rohrleitung DN355 aus Stahl S235 in Sandbettung (≥30 cm), Verdichtung, Formstücke, Abzweige und Oberflächenwiederherstellung. Abschnitt 27, Segment 183. Dichtheitsprüfung gemäß DIN 1998, DIN 4124, ZTV Asphalt‑StB. Abrechnung nach m. Nachweis: Fotoprotokoll.;m;51.4;Leitungen
03.04.0146;Leitung DN250 GfK verlegen;Liefern und Verlegen einer Rohrleitung DN160 aus PVC-U in Sandbettung (≥20 cm), Verdichtung, Formstücke, Abzweige und Oberflächenwiederherstellung. Abschnitt 11, Segment 100. Dichtheitsprüfung gemäß DIN 18300, DIN EN 206. Abrechnung nach m. Nachweis: As‑Built.;m;76.37;Leitungen
11.11.0154;Leitung DN63 GfK verlegen;Liefern und Verlegen einer Rohrleitung DN110 aus GfK in Sandbettung (≥20 cm), Verdichtung, Formstücke, Abzweige und Oberflächenwiederherstellung. Abschnitt 30, Segment 133. Dichtheitsprüfung gemäß DAfStb-Richtlinie, DIN 1998, DIN 4124, DIN EN 206. Abrechnung nach m. Nachweis: Fotoprotokoll.;m;44.19;Leitungen
07.06.0162;Leitung DN125 PP-HM verlegen;Liefern und Verlegen einer Rohrleitung DN315 aus GfK in Sandbettung (≥25 cm), Verdichtung, Formstücke, Abzweige und Oberflächenwiederherstellung. Abschnitt 24, Segment 164. Dichtheitsprüfung gemäß TL SoB‑StB, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: As‑Built.;m;67.93;Leitungen
03.02.0170;Leitung DN63 PE100-RC verlegen;Liefern und Verlegen einer Rohrleitung DN75 aus PVC-U in Sandbettung (≥15 cm), Verdichtung, Formstücke, Abzweige und Oberflächenwiederherstellung. Abschnitt 8, Segment 293. Dichtheitsprüfung gemäß DIN 1045‑2, DIN 18300, DIN 1998, DIN EN 206. Abrechnung nach m. Nachweis: As‑Built.;m;40.68;Leitungen
11.06.0178;Leitung DN75 GGG verlegen;Liefern und Verlegen einer Rohrleitung DN315 aus Stahl S235 in Sandbettung (≥25 cm), Verdichtung, Formstücke, Abzweige und Oberflächenwiederherstellung. Abschnitt 17, Segment 367. Dichtheitsprüfung gemäß DAfStb-Richtlinie, DIN EN 1610, ZTV Asphalt‑StB. Abrechnung nach m. Nachweis: As‑Built.;m;32.69;Leitungen
07.04.0186;Leitung DN75 PE100-RC verlegen;Liefern und Verlegen einer Rohrleitung DN225 aus PP-HM in Sandbettung (≥30 cm), Verdichtung, Formstücke, Abzweige und Oberflächenwiederherstellung. Abschnitt 12, Segment 386. Dichtheitsprüfung gemäß DIN 18300, DIN 4124, DIN EN 206, ZTV Asphalt‑StB. Abrechnung nach m. Nachweis: Prüfzeugnisse.;m;58.32;Leitungen
03.07.0194;Leitung DN280 PVC-U verlegen;Liefern und Verlegen einer Rohrleitung DN355 aus GGG in Sandbettung (≥20 cm), Verdichtung, Formstücke, Abzweige und Oberflächenwiederherstellung. Abschnitt 36, Segment 495. Dichtheitsprüfung gemäß DIN 1045‑2, DIN 18300. Abrechnung nach m. Nachweis: Materialzertifikate.;m;56.28;Leitungen
11.12.0202;Leitung DN225 PP-HM verlegen;Liefern und Verlegen einer Rohrleitung DN90 aus PE100-RC in Sandbettung (≥30 cm), Verdichtung, Formstücke, Abzweige und Oberflächenwiederherstellung. Abschnitt 47, Segment 474. Dichtheitsprüfung gemäß DAfStb-Richtlinie, DIN 1998. Abrechnung nach m. Nachweis: Messprotokoll.;m;85.83;Leitungen
07.01.0210;Leitung DN250 PVC-U verlegen;Liefern und Verlegen einer Rohrleitung DN50 aus GGG in Sandbettung (≥25 cm), Verdichtung, Formstücke, Abzweige und Oberflächenwiederherstellung. Abschnitt 35, Segment 51. Dichtheitsprüfung gemäß DIN 1998, TL SoB‑StB. Abrechnung nach m. Nachweis: Prüfzeugnisse.;m;58.04;Leitungen
03.06.0218;Leitung DN180 PP-HM verlegen;Liefern und Verlegen einer Rohrleitung DN250 aus PVC-U in Sandbettung (≥10 cm), Verdichtung, Formstücke, Abzweige und Oberflächenwiederherstellung. Abschnitt 2, Segment 43. Dichtheitsprüfung gemäß DAfStb-Richtlinie, DIN 18300, DIN 4124. Abrechnung nach m. Nachweis: Prüfzeugnisse.;m;50.13;Leitungen
11.07.0226;Leitung DN250 PVC-U verlegen;Liefern und Verlegen einer Rohrleitung DN315 aus Stahl S235 in Sandbettung (≥10 cm), Verdichtung, Formstücke, Abzweige und Oberflächenwiederherstellung. Abschnitt 22, Segment 158. Dichtheitsprüfung gemäß DIN 1998, DIN EN 1610. Abrechnung nach m. Nachweis: Fotoprotokoll.;m;30.6;Leitungen
07.02.0234;Leitung DN40 GfK verlegen;Liefern und Verlegen einer Rohrleitung DN160 aus PE100-RC in Sandbettung (≥10 cm), Verdichtung, Formstücke, Abzweige und Oberflächenwiederherstellung. Abschnitt 43, Segment 342. Dichtheitsprüfung gemäß DAfStb-Richtlinie, DIN 1045‑2, DIN EN 206, TL SoB‑StB. Abrechnung nach m. Nachweis: Messprotokoll.;m;47.81;Leitungen
03.07.0242;Leitung DN400 GfK verlegen;Liefern und Verlegen einer Rohrleitung DN50 aus PVC-U in Sandbettung (≥10 cm), Verdichtung, Formstücke, Abzweige und Oberflächenwiederherstellung. Abschnitt 17, Segment 82. Dichtheitsprüfung gemäß DIN 1045‑2, DIN EN 206, TL SoB‑StB. Abrechnung nach m. Nachweis: Materialzertifikate.;m;44.94;Leitungen
11.09.0250;Leitung DN40 Stahl S235 verlegen;Liefern und Verlegen einer Rohrleitung DN125 aus Stahl S235 in Sandbettung (≥15 cm), Verdichtung, Formstücke, Abzweige und Oberflächenwiederherstellung. Abschnitt 44, Segment 220. Dichtheitsprüfung gemäß DIN 1045‑2, DIN EN 1610. Abrechnung nach m. Nachweis: As‑Built.;m;44.37;Leitungen
07.09.0258;Leitung DN125 PE100-RC verlegen;Liefern und Verlegen einer Rohrleitung DN63 aus Stahl S235 in Sandbettung (≥15 cm), Verdichtung, Formstücke, Abzweige und Oberflächenwiederherstellung. Abschnitt 38, Segment 308. Dichtheitsprüfung gemäß DAfStb-Richtlinie, ZTV Asphalt‑StB. Abrechnung nach m. Nachweis: As‑Built.;m;84.01;Leitungen
03.07.0266;Leitung DN315 Stahl S235 verlegen;Liefern und Verlegen einer Rohrleitung DN250 aus GfK in Sandbettung (≥20 cm), Verdichtung, Formstücke, Abzweige und Oberflächenwiederherstellung. Abschnitt 36, Segment 157. Dichtheitsprüfung gemäß DIN 4124, DIN EN 1610. Abrechnung nach m. Nachweis: Fotoprotokoll.;m;74.11;Leitungen
11.08.0274;Leitung DN160 Stahl S235 verlegen;Liefern und Verlegen einer Rohrleitung DN63 aus PVC-U in Sandbettung (≥30 cm), Verdichtung, Formstücke, Abzweige und Oberflächenwiederherstellung. Abschnitt 23, Segment 66. Dichtheitsprüfung gemäß DAfStb-Richtlinie, DIN 18300, DIN 1998, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: Fotoprotokoll.;m;88.75;Leitungen
07.03.0282;Leitung DN225 PE100-RC verlegen;Liefern und Verlegen einer Rohrleitung DN32 aus PVC-U in Sandbettung (≥15 cm), Verdichtung, Formstücke, Abzweige und Oberflächenwiederherstellung. Abschnitt 8, Segment 442. Dichtheitsprüfung gemäß DAfStb-Richtlinie, DIN 1045‑2, DIN 1998, TL SoB‑StB. Abrechnung nach m. Nachweis: Prüfzeugnisse.;m;52.01;Leitungen
03.12.0290;Leitung DN280 PE100-RC verlegen;Liefern und Verlegen einer Rohrleitung DN75 aus PP-HM in Sandbettung (≥20 cm), Verdichtung, Formstücke, Abzweige und Oberflächenwiederherstellung. Abschnitt 6, Segment 270. Dichtheitsprüfung gemäß DIN 18300, DIN EN 206. Abrechnung nach m. Nachweis: As‑Built.;m;83.51;Leitungen
11.06.0298;Leitung DN280 GfK verlegen;Liefern und Verlegen einer Rohrleitung DN400 aus PVC-U in Sandbettung (≥10 cm), Verdichtung, Formstücke, Abzweige und Oberflächenwiederherstellung. Abschnitt 8, Segment 133. Dichtheitsprüfung gemäß DIN 18300, DIN EN 206. Abrechnung nach m. Nachweis: Materialzertifikate.;m;22.35;Leitungen
07.12.0306;Leitung DN400 PP-HM verlegen;Liefern und Verlegen einer Rohrleitung DN355 aus GfK in Sandbettung (≥15 cm), Verdichtung, Formstücke, Abzweige und Oberflächenwiederherstellung. Abschnitt 24, Segment 209. Dichtheitsprüfung gemäß DIN 1045‑2, DIN 1998, TL SoB‑StB, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: Prüfzeugnisse.;m;81.33;Leitungen
