Positionsnummer;Kurztext;Langtext;Einheit;Preis;Kategorie
06.08.0005;Pflaster Basalt-Mosaik liefern & verlegen;Pflasterdecke Granit Großpflaster 14/17, Bettung 5 cm, Tragschicht 14 cm, Fugenverfüllung und Abrütteln. Randsteine setzen. Abschnitt 45, Segment 38. Ausführung nach DAfStb-Richtlinie, DIN 18300, DIN 1998, DIN EN 206. Abrechnung nach m². Nachweis: Messprotokoll.;m²;27.21;Pflaster
02.06.0013;Pflaster Klinkerpflaster 6 cm liefern & verlegen;Pflasterdecke Klinkerpflaster 6 cm, Bettung 4 cm, Tragschicht 14 cm, Fugenverfüllung und Abrütteln. Randsteine setzen. Abschnitt 8, Segment 399. Ausführung nach DIN 1045‑2, DIN EN 206, ZTV Asphalt‑StB, ZTV Pflaster‑StB. Abrechnung nach m². Nachweis: As‑Built.;m²;25.32;Pflaster
10.12.0021;Pflaster Klinkerpflaster 6 cm liefern & verlegen;Pflasterdecke Granit Großpflaster 14/17, Bettung 5 cm, Tragschicht 12 cm, Fugenverfüllung und Abrütteln. Randsteine setzen. Abschnitt 35, Segment 170. Ausführung nach DIN 1998, DIN EN 1610, TL SoB‑StB, ZTV Asphalt‑StB. Abrechnung nach m². Nachweis: Prüfzeugnisse.;m²;31.71;Pflaster
06.04.0029;Pflaster Natursteinplatte 3 cm liefern & verlegen;Pflasterdecke Natursteinplatte 3 cm, Bettung 4 cm, Tragschicht 12 cm, Fugenverfüllung und Abrütteln. Randsteine setzen. Abschnitt 33, Segment 212. Ausführung nach DAfStb-Richtlinie, DIN EN 1610, DIN EN 206. Abrechnung nach m². Nachweis: Messprotokoll.;m²;19.64;Pflaster
02.01.0037;Pflaster Ökopflaster 10 cm liefern & verlegen;Pflasterdecke Ökopflaster 10 cm, Bettung 3 cm, Tragschicht 16 cm, Fugenverfüllung und Abrütteln. Randsteine setzen. Abschnitt 17, Segment 21. Ausführung nach DIN 1045‑2, DIN EN 1610, DIN EN 206, ZTV Pflaster‑StB. Abrechnung nach m². Nachweis: As‑Built.;m²;37.75;Pflaster
10.08.0045;Pflaster Rasengitterstein 10 cm liefern & verlegen;Pflasterdecke Basalt-Mosaik, Bettung 6 cm, Tragschicht 12 cm, Fugenverfüllung und Abrütteln. Randsteine setzen. Abschnitt 43, Segment 21. Ausführung nach DIN 18300, DIN 4124, ZTV Asphalt‑StB. Abrechnung nach m². Nachweis: Fotoprotokoll.;m²;13.12;Pflaster
06.10.0053;Pflaster Ökopflaster 10 cm liefern & verlegen;Pflasterdecke Granit Großpflaster 14/17, Bettung 3 cm, Tragschicht 12 cm, Fugenverfüllung und Abrütteln. Randsteine setzen. Abschnitt 24, Segment 63. Ausführung nach DIN 1045‑2, DIN EN 206, ZTV Asphalt‑StB. Abrechnung nach m². Nachweis: Materialzertifikate.;m²;12.75;Pflaster
02.10.0061;Pflaster Betonplatte 6 cm liefern & verlegen;Pflasterdecke Granitpflaster 8/10, Bettung 5 cm, Tragschicht 20 cm, Fugenverfüllung und Abrütteln. Randsteine setzen. Abschnitt 14, Segment 117. Ausführung nach DAfStb-Richtlinie, DIN 1045‑2, DIN EN 206, ZTV Pflaster‑StB. Abrechnung nach m². Nachweis: Messprotokoll.;m²;36.68;Pflaster
10.07.0069;Pflaster Betonpflaster 8 cm liefern & verlegen;Pflasterdecke Rasengitterstein 10 cm, Bettung 5 cm, Tragschicht 14 cm, Fugenverfüllung und Abrütteln. Randsteine setzen. Abschnitt 19, Segment 385. Ausführung nach DIN EN 1610, DIN EN 206, TL SoB‑StB, ZTV Pflaster‑StB. Abrechnung nach m². Nachweis: Materialzertifikate.;m²;41.49;Pflaster
06.10.0077;Pflaster Betonplatte 6 cm liefern & verlegen;Pflasterdecke Granitpflaster 8/10, Bettung 5 cm, Tragschicht 20 cm, Fugenverfüllung und Abrütteln. Randsteine setzen. Abschnitt 8, Segment 483. Ausführung nach DIN 1045‑2, ZTV Asphalt‑StB. Abrechnung nach m². Nachweis: Prüfzeugnisse.;m²;37.62;Pflaster
02.05.0085;Pflaster Betonplatte 6 cm liefern & verlegen;Pflasterdecke Klinkerpflaster 6 cm, Bettung 5 cm, Tragschicht 14 cm, Fugenverfüllung und Abrütteln. Randsteine setzen. Abschnitt 14, Segment 114. Ausführung nach DIN 1045‑2, DIN 18300, DIN EN 206, TL SoB‑StB. Abrechnung nach m². Nachweis: Messprotokoll.;m²;18.7;Pflaster
10.07.0093;Pflaster Betonplatte 6 cm liefern & verlegen;Pflasterdecke Betonplatte 6 cm, Bettung 6 cm, Tragschicht 18 cm, Fugenverfüllung und Abrütteln. Randsteine setzen. Abschnitt 45, Segment 402. Ausführung nach DAfStb-Richtlinie, DIN 1045‑2, DIN 1998, DIN EN 206. Abrechnung nach m². Nachweis: Materialzertifikate.;m²;8.8;Pflaster
06.10.0101;Pflaster Rasengitterstein 10 cm liefern & verlegen;Pflasterdecke Granitpflaster 8/10, Bettung 6 cm, Tragschicht 14 cm, Fugenverfüllung und Abrütteln. Randsteine setzen. Abschnitt 20, Segment 214. Ausführung nach DIN 1045‑2, DIN 4124, DIN EN 1610. Abrechnung nach m². Nachweis: Messprotokoll.;m²;19.23;Pflaster
02.10.0109;Pflaster Granitpflaster 8/10 liefern & verlegen;Pflasterdecke Basalt-Mosaik, Bettung 3 cm, Tragschicht 14 cm, Fugenverfüllung und Abrütteln. Randsteine setzen. Abschnitt 34, Segment 201. Ausführung nach DIN 18300, DIN 4124. Abrechnung nach m². Nachweis: Prüfzeugnisse.;m²;42.14;Pflaster
10.03.0117;Pflaster Ökopflaster 10 cm liefern & verlegen;Pflasterdecke Granit Großpflaster 14/17, Bettung 6 cm, Tragschicht 14 cm, Fugenverfüllung und Abrütteln. Randsteine setzen. Abschnitt 25, Segment 53. Ausführung nach DIN 1045‑2, DIN 18300, DIN 4124. Abrechnung nach m². Nachweis: Prüfzeugnisse.;m²;18.81;Pflaster
06.08.0125;Pflaster Basalt-Mosaik liefern & verlegen;Pflasterdecke Ökopflaster 10 cm, Bettung 5 cm, Tragschicht 16 cm, Fugenverfüllung und Abrütteln. Randsteine setzen. Abschnitt 40, Segment 9. Ausführung nach DIN 1045‑2, TL SoB‑StB, ZTV Asphalt‑StB, ZTV Pflaster‑StB. Abrechnung nach m². Nachweis: Fotoprotokoll.;m²;22.8;Pflaster
02.06.0133;Pflaster Rasengitterstein 10 cm liefern & verlegen;Pflasterdecke Natursteinplatte 3 cm, Bettung 3 cm, Tragschicht 20 cm, Fugenverfüllung und Abrütteln. Randsteine setzen. Abschnitt 13, Segment 408. Ausführung nach DAfStb-Richtlinie, DIN 1998, DIN EN 1610, ZTV Pflaster‑StB. Abrechnung nach m². Nachweis: Materialzertifikate.;m²;43.7;Pflaster
