Positionsnummer;Kurztext;Langtext;Einheit;Preis;Kategorie
04.11.0003;Fertigteilschacht DN1200 setzen;Fertigteilschacht DN800, Tiefe 6 m, Fundament, Konus, Steigeisen, Abdeckung Kl. B125. Zu-/Abläufe einbinden, Fugen abdichten. Abschnitt 30, Segment 182. Ausführung gem. DIN 18300, DIN 1998, DIN EN 1610, ZTV Pflaster‑StB. Abrechnung pro St. Nachweis: As‑Built.;St;200.62;Schachtbau
12.07.0011;Fertigteilschacht DN1000 setzen;Fertigteilschacht DN2000, Tiefe 6 m, Fundament, Konus, Steigeisen, Abdeckung Kl. E600. Zu-/Abläufe einbinden, Fugen abdichten. Abschnitt 46, Segment 411. Ausführung gem. DAfStb-Richtlinie, DIN 18300, DIN 1998, ZTV Pflaster‑StB. Abrechnung pro St. Nachweis: Messprotokoll.;St;572.98;Schachtbau
08.09.0019;Fertigteilschacht DN600 setzen;Fertigteilschacht DN1000, Tiefe 2 m, Fundament, Konus, Steigeisen, Abdeckung Kl. F900. Zu-/Abläufe einbinden, Fugen abdichten. Abschnitt 9, Segment 279. Ausführung gem. DIN 1045‑2, DIN 4124, DIN EN 1610, ZTV Asphalt‑StB. Abrechnung pro St. Nachweis: Messprotokoll.;St;31.7;Schachtbau
04.09.0027;Fertigteilschacht DN800 setzen;Fertigteilschacht DN2000, Tiefe 3 m, Fundament, Konus, Steigeisen, Abdeckung Kl. F900. Zu-/Abläufe einbinden, Fugen abdichten. Abschnitt 40, Segment 113. Ausführung gem. DIN 1045‑2, DIN 1998, ZTV Pflaster‑StB. Abrechnung pro St. Nachweis: Messprotokoll.;St;1437.03;Schachtbau
12.08.0035;Fertigteilschacht DN1500 setzen;Fertigteilschacht DN1000, Tiefe 2 m, Fundament, Konus, Steigeisen, Abdeckung Kl. B125. Zu-/Abläufe einbinden, Fugen abdichten. Abschnitt 28, Segment 244. Ausführung gem. DIN 1045‑2, DIN 1998, DIN EN 1610, ZTV Asphalt‑StB. Abrechnung pro St. Nachweis: Messprotokoll.;St;552.88;Schachtbau
08.03.0043;Fertigteilschacht DN1200 setzen;Fertigteilschacht DN600, Tiefe 5 m, Fundament, Konus, Steigeisen, Abdeckung Kl. D400. Zu-/Abläufe einbinden, Fugen abdichten. Abschnitt 17, Segment 474. Ausführung gem. DIN 1998, DIN EN 206. Abrechnung pro St. Nachweis: Materialzertifikate.;St;578.58;Schachtbau
04.08.0051;Fertigteilschacht DN800 setzen;Fertigteilschacht DN1200, Tiefe 4 m, Fundament, Konus, Steigeisen, Abdeckung Kl. E600. Zu-/Abläufe einbinden, Fugen abdichten. Abschnitt 28, Segment 110. Ausführung gem. DIN 4124, ZTV Pflaster‑StB. Abrechnung pro St. Nachweis: Prüfzeugnisse.;St;65.45;Schachtbau
12.08.0059;Fertigteilschacht DN600 setzen;Fertigteilschacht DN800, Tiefe 5 m, Fundament, Konus, Steigeisen, Abdeckung Kl. B125. Zu-/Abläufe einbinden, Fugen abdichten. Abschnitt 6, Segment 127. Ausführung gem. DIN 1045‑2, ZTV Pflaster‑StB. Abrechnung pro St. Nachweis: Materialzertifikate.;St;599.97;Schachtbau
08.04.0067;Fertigteilschacht DN800 setzen;Fertigteilschacht DN800, Tiefe 5 m, Fundament, Konus, Steigeisen, Abdeckung Kl. D400. Zu-/Abläufe einbinden, Fugen abdichten. Abschnitt 30, Segment 245. Ausführung gem. DIN 1998, ZTV Asphalt‑StB. Abrechnung pro St. Nachweis: Prüfzeugnisse.;St;378.6;Schachtbau
04.11.0075;Fertigteilschacht DN1000 setzen;Fertigteilschacht DN1000, Tiefe 6 m, Fundament, Konus, Steigeisen, Abdeckung Kl. D400. Zu-/Abläufe einbinden, Fugen abdichten. Abschnitt 27, Segment 331. Ausführung gem. DAfStb-Richtlinie, DIN 18300, DIN 4124, ZTV Asphalt‑StB. Abrechnung pro St. Nachweis: As‑Built.;St;124.73;Schachtbau
12.07.0083;Fertigteilschacht DN1500 setzen;Fertigteilschacht DN2000, Tiefe 3 m, Fundament, Konus, Steigeisen, Abdeckung Kl. B125. Zu-/Abläufe einbinden, Fugen abdichten. Abschnitt 38, Segment 241. Ausführung gem. DIN 1045‑2, DIN 1998, ZTV Pflaster‑StB. Abrechnung pro St. Nachweis: Fotoprotokoll.;St;942.85;Schachtbau
08.05.0091;Fertigteilschacht DN1000 setzen;Fertigteilschacht DN1200, Tiefe 2 m, Fundament, Konus, Steigeisen, Abdeckung Kl. D400. Zu-/Abläufe einbinden, Fugen abdichten. Abschnitt 14, Segment 354. Ausführung gem. DIN 18300, DIN 4124, TL SoB‑StB. Abrechnung pro St. Nachweis: Messprotokoll.;St;922.14;Schachtbau
