Positionsnummer;Kurztext;Langtext;Einheit;Preis;Kategorie
05.03.0004;Asphalteinbau SMA 11 S 8 cm;Asphalteinbau: SMA 11 S Dicke 10 cm, Binderschicht/Tragschicht entsprechend ZTV. Flächenverdichtung. Abschnitt 6, Segment 301. Verdichtung und Ebenheit nach DIN 1045‑2, DIN 4124, ZTV Asphalt‑StB. Abrechnung nach m². Nachweis: Messprotokoll.;m²;37.17;Straßenbau
01.08.0012;Asphalteinbau AC 22 T S 7 cm;Asphalteinbau: SMA 11 S Dicke 9 cm, Binderschicht/Tragschicht entsprechend ZTV. Flächenverdichtung. Abschnitt 5, Segment 477. Verdichtung und Ebenheit nach DIN 1045‑2, DIN 1998. Abrechnung nach m². Nachweis: Materialzertifikate.;m²;30.09;Straßenbau
09.10.0020;Asphalteinbau Gussasphalt GA 11 8 cm;Asphalteinbau: AC 22 T S Dicke 9 cm, Binderschicht/Tragschicht entsprechend ZTV. Kantenbearbeitung. Abschnitt 20, Segment 333. Verdichtung und Ebenheit nach DAfStb-Richtlinie, DIN 18300, DIN 1998. Abrechnung nach m². Nachweis: Messprotokoll.;m²;12.66;Straßenbau
05.07.0028;Asphalteinbau AC 11 D 5 cm;Asphalteinbau: AC 22 T S Dicke 5 cm, Binderschicht/Tragschicht entsprechend ZTV. Flächenverdichtung. Abschnitt 43, Segment 69. Verdichtung und Ebenheit nach DIN 18300, ZTV Pflaster‑StB. Abrechnung nach m². Nachweis: Messprotokoll.;m²;33.35;Straßenbau
01.05.0036;Asphalteinbau AC 16 D 10 cm;Asphalteinbau: PA 11 Dicke 6 cm, Binderschicht/Tragschicht entsprechend ZTV. Nähte heiß. Abschnitt 29, Segment 147. Verdichtung und Ebenheit nach DIN 4124, DIN EN 206, ZTV Asphalt‑StB, ZTV Pflaster‑StB. Abrechnung nach m². Nachweis: Fotoprotokoll.;m²;43.91;Straßenbau
09.08.0044;Asphalteinbau SMA 8 S 7 cm;Asphalteinbau: SMA 8 S Dicke 7 cm, Binderschicht/Tragschicht entsprechend ZTV. Fugenverguss. Abschnitt 37, Segment 268. Verdichtung und Ebenheit nach DAfStb-Richtlinie, DIN 1998. Abrechnung nach m². Nachweis: Fotoprotokoll.;m²;13.74;Straßenbau
05.06.0052;Asphalteinbau AC 22 T S 3 cm;Asphalteinbau: PA 11 Dicke 8 cm, Binderschicht/Tragschicht entsprechend ZTV. Anrampungen. Abschnitt 14, Segment 7. Verdichtung und Ebenheit nach DIN EN 1610, TL SoB‑StB, ZTV Asphalt‑StB. Abrechnung nach m². Nachweis: Prüfzeugnisse.;m²;27.36;Straßenbau
01.07.0060;Asphalteinbau AC 11 D 7 cm;Asphalteinbau: SMA 8 S Dicke 4 cm, Binderschicht/Tragschicht entsprechend ZTV. Anrampungen. Abschnitt 40, Segment 287. Verdichtung und Ebenheit nach DAfStb-Richtlinie, DIN 1998, DIN EN 206, ZTV Asphalt‑StB. Abrechnung nach m². Nachweis: As‑Built.;m²;38.57;Straßenbau
09.06.0068;Asphalteinbau AC 16 D 6 cm;Asphalteinbau: AC 22 T S Dicke 4 cm, Binderschicht/Tragschicht entsprechend ZTV. Anrampungen. Abschnitt 50, Segment 60. Verdichtung und Ebenheit nach DIN 18300, DIN 4124, ZTV Pflaster‑StB. Abrechnung nach m². Nachweis: Messprotokoll.;m²;39.3;Straßenbau
05.04.0076;Asphalteinbau AC 11 D 10 cm;Asphalteinbau: SMA 8 S Dicke 12 cm, Binderschicht/Tragschicht entsprechend ZTV. Anrampungen. Abschnitt 33, Segment 129. Verdichtung und Ebenheit nach DAfStb-Richtlinie, DIN 4124, DIN EN 206. Abrechnung nach m². Nachweis: Messprotokoll.;m²;29.2;Straßenbau
01.10.0084;Asphalteinbau AC 16 D 10 cm;Asphalteinbau: AC 11 D Dicke 7 cm, Binderschicht/Tragschicht entsprechend ZTV. Anrampungen. Abschnitt 24, Segment 347. Verdichtung und Ebenheit nach DIN 18300, DIN 4124, DIN EN 206. Abrechnung nach m². Nachweis: As‑Built.;m²;21.8;Straßenbau
09.10.0092;Asphalteinbau AC 11 D 8 cm;Asphalteinbau: SMA 11 S Dicke 8 cm, Binderschicht/Tragschicht entsprechend ZTV. Flächenverdichtung. Abschnitt 41, Segment 366. Verdichtung und Ebenheit nach DAfStb-Richtlinie, DIN 1045‑2, ZTV Pflaster‑StB. Abrechnung nach m². Nachweis: Prüfzeugnisse.;m²;25.24;Straßenbau
05.12.0100;Asphalteinbau AC 11 D 4 cm;Asphalteinbau: AC 16 D Dicke 7 cm, Binderschicht/Tragschicht entsprechend ZTV. Nähte heiß. Abschnitt 49, Segment 408. Verdichtung und Ebenheit nach DIN 4124, DIN EN 1610, DIN EN 206, ZTV Asphalt‑StB. Abrechnung nach m². Nachweis: Materialzertifikate.;m²;27.41;Straßenbau
01.02.0108;Asphalteinbau Gussasphalt GA 11 6 cm;Asphalteinbau: AC 16 D Dicke 3 cm, Binderschicht/Tragschicht entsprechend ZTV. Anrampungen. Abschnitt 36, Segment 218. Verdichtung und Ebenheit nach DIN 1045‑2, DIN 4124, DIN EN 1610. Abrechnung nach m². Nachweis: Materialzertifikate.;m²;23.3;Straßenbau
09.07.0116;Asphalteinbau PA 11 12 cm;Asphalteinbau: AC 22 T S Dicke 5 cm, Binderschicht/Tragschicht entsprechend ZTV. Flächenverdichtung. Abschnitt 43, Segment 33. Verdichtung und Ebenheit nach DAfStb-Richtlinie, DIN 18300, ZTV Pflaster‑StB. Abrechnung nach m². Nachweis: Materialzertifikate.;m²;28.15;Straßenbau
05.09.0124;Asphalteinbau AC 16 D 11 cm;Asphalteinbau: SMA 11 S Dicke 10 cm, Binderschicht/Tragschicht entsprechend ZTV. Anrampungen. Abschnitt 44, Segment 259. Verdichtung und Ebenheit nach DAfStb-Richtlinie, DIN 18300, ZTV Pflaster‑StB. Abrechnung nach m². Nachweis: Materialzertifikate.;m²;20.88;Straßenbau
01.12.0132;Asphalteinbau SMA 11 S 5 cm;Asphalteinbau: PA 11 Dicke 5 cm, Binderschicht/Tragschicht entsprechend ZTV. Flächenverdichtung. Abschnitt 33, Segment 29. Verdichtung und Ebenheit nach DIN 4124, DIN EN 1610. Abrechnung nach m². Nachweis: Materialzertifikate.;m²;29.69;Straßenbau
09.12.0140;Asphalteinbau AC 22 T S 4 cm;Asphalteinbau: PA 11 Dicke 12 cm, Binderschicht/Tragschicht entsprechend ZTV. Kantenbearbeitung. Abschnitt 23, Segment 452. Verdichtung und Ebenheit nach DAfStb-Richtlinie, DIN 18300, DIN EN 206. Abrechnung nach m². Nachweis: Materialzertifikate.;m²;22.68;Straßenbau
05.12.0148;Asphalteinbau SMA 8 S 8 cm;Asphalteinbau: SMA 8 S Dicke 12 cm, Binderschicht/Tragschicht entsprechend ZTV. Nähte heiß. Abschnitt 31, Segment 99. Verdichtung und Ebenheit nach DIN 4124, DIN EN 1610, ZTV Asphalt‑StB. Abrechnung nach m². Nachweis: Messprotokoll.;m²;36.5;Straßenbau
01.09.0156;Asphalteinbau Gussasphalt GA 11 6 cm;Asphalteinbau: AC 11 D Dicke 10 cm, Binderschicht/Tragschicht entsprechend ZTV. Kantenbearbeitung. Abschnitt 29, Segment 177. Verdichtung und Ebenheit nach DIN 4124, DIN EN 206. Abrechnung nach m². Nachweis: Messprotokoll.;m²;24.68;Straßenbau
09.07.0164;Asphalteinbau AC 16 D 4 cm;Asphalteinbau: Gussasphalt GA 11 Dicke 5 cm, Binderschicht/Tragschicht entsprechend ZTV. Flächenverdichtung. Abschnitt 42, Segment 473. Verdichtung und Ebenheit nach DIN 1045‑2, DIN 18300, ZTV Asphalt‑StB. Abrechnung nach m². Nachweis: As‑Built.;m²;26.84;Straßenbau
