"PosNr";"Kurztext";"Menge";"Einheit";"EP_RLC_KI";"Gesamtpreis";"Bauverfahren";"Quelle"
"001";"Baustelleneinricht. herstellen";"1";"Psch";"3078.00";"3078.00";"Baustelleneinrichtung pauschal";"technical-parser"
"002";"Baustelleneinricht. vorhalten";"1";"Psch";"168.18";"168.18";"Baustelleneinrichtung vorhalten X84";"technical-parser"
"003";"Baustelle räumen";"1";"Psch";"1539.00";"1539.00";"Baustelle räumen";"technical-parser"
"004";"Bauzaun herstellen vorhalten u. abb.";"20";"m";"11.70";"234.00";"Bauzaun stellen und vorhalten";"technical-parser"
"005";"Höhenfestpunkt herstellen";"1";"St";"116.96";"116.96";"Bestandsaufnahme / Geländeaufnahme";"technical-parser"
"006";"Verkehrssicherung v. längerer Dauer";"1";"Psch";"344.74";"344.74";"Mobile Ampelanlage stellen";"technical-parser"
"007";"Verk.Fl.unterh.";"1";"psch";"640.22";"640.22";"Verkehrssicherung einrichten und vorhalten";"technical-parser"
"008";"Absperrung herstellen";"1";"Psch";"14.77";"14.77";"Absperrung / Absturzsicherung herstellen";"technical-parser"
"009";"Reinigung von Straßen";"1";"psch";"221.62";"221.62";"Reinigung von Straßen";"technical-parser"
"010";"Spartenerkundung";"1";"Psch";"467.86";"467.86";"Spartenerkundung durchführen";"technical-parser"
"011";"Asphalt trennen 12-18";"160";"m";"11.08";"1772.80";"Asphalt schneiden / trennen";"technical-parser"
"012";"Gebundenen Ober- bau aufbrechen";"450";"m2";"13.38";"6021.00";"Gebundener Oberbau aufbrechen Großfläche";"technical-parser"
"013";"Asphalt feinfräsen";"1600";"m2";"0.56";"896.00";"Asphalt feinfräsen";"technical-parser"
"014";"Zulage Asphalt gering verunreinigt";"10";"t";"34.47";"344.70";"Zulage Asphalt gering verunreinigt";"technical-parser"
"015";"Aufbruch Fels";"2";"m3";"116.96";"233.92";"Fels aufbrechen / lösen";"technical-parser"
"016";"Aufsatz ausbauen";"2";"St";"233.93";"467.86";"Ablaufaufsatz ausbauen";"technical-parser"
"017";"Aufsatz liefern und einbauen";"2";"St";"418.61";"837.22";"Ablaufaufsatz liefern und einbauen";"technical-parser"
"018";"Straßenablauf Fertigteil ausb.";"3";"Stk";"36.82";"110.46";"Straßenablauf Fertigteil ausbauen";"technical-parser"
"019";"Granitbord ausbauen";"20";"m";"27.09";"541.80";"Granitbord / Bordstein ausbauen";"technical-parser"
"020";"Oberboden abtragen und zwischenlagern, 30 cm";"10";"m3";"5.51";"55.10";"Boden lösen und zwischenlagern";"technical-parser"
"021";"Oberboden zwischengelagert andecken";"10";"m3";"5.51";"55.10";"Boden lösen und zwischenlagern";"technical-parser"
"022";"Rasenansaat auf Oberboden herst.";"50";"m2";"8.00";"400.00";"Rasenansaat herstellen";"technical-parser"
